experiment_id,V,M,E,D,VV,VM,MM,VE,ME,EE,VD,MD,ED,DD,cell_viability
1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.0,0,0.0,9.375,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,87.890625,0.9
3,0.0,0,0.0,18.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,351.5625,0.93
4,0.0,0,0.0,75.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5625.0,0.9
5,0.0,0,12.5,0.0,0.0,0.0,0,0.0,0.0,156.25,0.0,0.0,0.0,0.0,0.83
6,0.0,0,12.5,9.375,0.0,0.0,0,0.0,0.0,156.25,0.0,0.0,117.1875,87.890625,0.84
7,0.0,0,12.5,18.75,0.0,0.0,0,0.0,0.0,156.25,0.0,0.0,234.375,351.5625,0.89
8,0.0,0,12.5,75.0,0.0,0.0,0,0.0,0.0,156.25,0.0,0.0,937.5,5625.0,0.86
9,0.0,0,25.0,0.0,0.0,0.0,0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,0.91
10,0.0,0,25.0,9.375,0.0,0.0,0,0.0,0.0,625.0,0.0,0.0,234.375,87.890625,0.96
11,0.0,0,25.0,18.75,0.0,0.0,0,0.0,0.0,625.0,0.0,0.0,468.75,351.5625,0.91
12,0.0,0,25.0,75.0,0.0,0.0,0,0.0,0.0,625.0,0.0,0.0,1875.0,5625.0,0.89
13,0.0,0,100.0,0.0,0.0,0.0,0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.8
14,0.0,0,100.0,9.375,0.0,0.0,0,0.0,0.0,10000.0,0.0,0.0,937.5,87.890625,0.8
15,0.0,0,100.0,18.75,0.0,0.0,0,0.0,0.0,10000.0,0.0,0.0,1875.0,351.5625,0.79
16,0.0,0,100.0,75.0,0.0,0.0,0,0.0,0.0,10000.0,0.0,0.0,7500.0,5625.0,0.77
17,0.0,5,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91
18,0.0,5,0.0,9.375,0.0,0.0,25,0.0,0.0,0.0,0.0,46.875,0.0,87.890625,0.88
19,0.0,5,0.0,18.75,0.0,0.0,25,0.0,0.0,0.0,0.0,93.75,0.0,351.5625,0.84
